FID_clc_ch,OBJECTID,Change,ID,Code_12,Code_18
"728","316394",324-312,EU-316395,"324","312"
"729","316406",324-312,EU-316407,"324","312"
"730","316409",324-312,EU-316410,"324","312"
"731","381683",324-321,EU-381684,"324","321"
"732","381684",324-321,EU-381685,"324","321"
"733","382197",324-334,EU-382198,"324","334"
"734","382199",324-334,EU-382200,"324","334"
"735","382200",324-334,EU-382201,"324","334"
"736","382201",324-334,EU-382202,"324","334"
"737","382202",324-334,EU-382203,"324","334"
"738","382203",324-334,EU-382204,"324","334"
"739","382204",324-334,EU-382205,"324","334"
"740","382205",324-334,EU-382206,"324","334"
"741","382206",324-334,EU-382207,"324","334"
"742","382208",324-334,EU-382209,"324","334"
"743","382209",324-334,EU-382210,"324","334"
"744","382210",324-334,EU-382211,"324","334"
"745","382211",324-334,EU-382212,"324","334"
"746","382212",324-334,EU-382213,"324","334"
"747","382213",324-334,EU-382214,"324","334"
"748","382216",324-334,EU-382217,"324","334"
"749","382218",324-334,EU-382219,"324","334"
"750","382220",324-334,EU-382221,"324","334"
"751","382226",324-334,EU-382227,"324","334"
"752","382228",324-334,EU-382229,"324","334"
"753","382230",324-334,EU-382231,"324","334"
"754","382231",324-334,EU-382232,"324","334"
"755","382233",324-334,EU-382234,"324","334"
"756","382234",324-334,EU-382235,"324","334"
"757","382247",324-334,EU-382248,"324","334"
"758","382250",324-334,EU-382251,"324","334"
"759","382282",324-334,EU-382283,"324","334"
"760","382867",324-512,EU-382868,"324","512"
"761","383062",331-142,EU-383063,"331","142"
"762","383063",331-142,EU-383064,"331","142"
"763","386903",411-512,EU-386904,"411","512"
"764","386904",411-512,EU-386905,"411","512"
"765","386905",411-512,EU-386906,"411","512"
"766","386906",411-512,EU-386907,"411","512"
"767","386907",411-512,EU-386908,"411","512"
"768","386908",411-512,EU-386909,"411","512"
"769","386909",411-512,EU-386910,"411","512"
"770","386910",411-512,EU-386911,"411","512"
"771","386912",411-512,EU-386913,"411","512"
"772","387734",511-231,EU-387735,"511","231"
"773","387735",511-231,EU-387736,"511","231"
"774","387736",511-231,EU-387737,"511","231"
"775","387746",511-331,EU-387747,"511","331"
"776","387964",512-131,EU-387965,"512","131"
"777","388074",512-231,EU-388075,"512","231"
"778","388189",512-411,EU-388190,"512","411"
"779","388191",512-411,EU-388192,"512","411"
