OBJECTID,osm_id,code,fclass,name,layer,bridge,tunnel,Shape_Leng
"86","192051601","6101",rail,Tunel Bukovik,0.00000000000,F,T,4262.66019729000
"87","193498761","6101",rail,,0.00000000000,F,F,4014.03799136000
"88","193498762","6101",rail,,0.00000000000,F,T,217.81042841000
"89","193991181","6101",rail,,0.00000000000,F,F,951.10659721700
"90","193991356","6101",rail,,0.00000000000,F,F,274.53962533200
"91","194791183","6101",rail,,1.00000000000,T,F,103.86466890200
"92","194791184","6101",rail,,0.00000000000,F,F,112.66159429300
"93","194912315","6101",rail,,1.00000000000,T,F,37.85273171490
"94","194912339","6101",rail,,0.00000000000,F,F,457.25850128500
"95","194912352","6101",rail,,1.00000000000,T,F,15.28753466490
"96","194912374","6101",rail,,0.00000000000,F,F,506.29939827500
"97","219968410","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,555.20821819900
"98","219968411","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,2750.68502381000
"99","219968412","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,393.51399100000
"100","219968424","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,2714.66920652000
"101","219968579","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,4515.36088485000
"102","219968580","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,2250.60555573000
"103","219968581","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,570.41585319900
"104","219968582","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,1273.29208161000
"105","219968583","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,2434.88842092000
"106","219968584","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,1234.13482390000
"107","219968585","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,832.35495363500
"108","219968586","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,434.69077396200
"109","219968627","6107",miniature_railway,Conveyor Belt,0.00000000000,F,F,2110.18597748000
"110","220293782","6101",rail,,0.00000000000,F,F,62.02800647020
"111","220293784","6101",rail,,0.00000000000,F,F,524.70738886300
"112","220293785","6101",rail,,0.00000000000,F,F,584.83210208200
"113","220293786","6101",rail,,0.00000000000,F,F,718.83397089400
"114","220293787","6101",rail,,0.00000000000,F,F,401.85923580900
"115","220293788","6101",rail,,0.00000000000,F,F,667.86315725600
"116","220293790","6101",rail,,0.00000000000,F,F,964.46676483400
"117","220293791","6101",rail,,0.00000000000,F,F,1095.76031023000
"118","220293792","6101",rail,,0.00000000000,F,F,1025.02314795000
"119","220293795","6101",rail,,0.00000000000,F,F,902.98752448500
"120","220293796","6101",rail,ΠΑΘΕ-Π,0.00000000000,F,F,1092.08948802000
"121","220293797","6101",rail,,0.00000000000,F,F,308.94622688000
"122","220293802","6101",rail,,0.00000000000,F,F,195.21036141800
"123","220293803","6101",rail,,0.00000000000,F,F,1389.66293828000
"124","220293804","6101",rail,,0.00000000000,F,F,165.05539714100
"125","220293805","6101",rail,,0.00000000000,F,F,301.89870869100
"126","220293806","6101",rail,,0.00000000000,F,F,901.41132307200
"127","222674495","6101",rail,,0.00000000000,F,F,723.13542580500
"128","236958667","6101",rail,,1.00000000000,T,F,14.02616171140
"129","236958674","6101",rail,,0.00000000000,F,F,2596.58953834000
"130","239590722","6101",rail,,0.00000000000,F,F,366.85968173400
"131","239590730","6101",rail,,1.00000000000,T,F,20.53096020840
"132","239981378","6101",rail,,0.00000000000,F,F,105.35608035700
"133","239981384","6101",rail,,1.00000000000,T,F,11.93543715030
"134","239981393","6101",rail,,1.00000000000,T,F,10.85348209020
"135","239981395","6101",rail,,0.00000000000,F,F,1257.02334942000
"136","239981399","6101",rail,,0.00000000000,F,F,131.46162305400
"137","239981401","6101",rail,,1.00000000000,T,F,11.04868007000
"138","275778555","6101",rail,,1.00000000000,T,F,16.72830053050
"139","275778556","6101",rail,,1.00000000000,T,F,19.53725078160
"140","275778560","6101",rail,,0.00000000000,F,F,217.77703765400
"141","275778563","6101",rail,,0.00000000000,F,F,6125.12883843000
"142","275817739","6101",rail,,1.00000000000,T,F,23.07445256520
"143","275817741","6101",rail,,0.00000000000,F,F,23638.16312120000
"144","297052906","6101",rail,,0.00000000000,F,F,636.48049755500
"145","297052908","6101",rail,,1.00000000000,T,F,12.90840381990
"146","332433232","6101",rail,,0.00000000000,F,F,1016.32722259000
"147","332434981","6101",rail,,0.00000000000,T,F,8.24781395752
