OBJECTID,osm_id,code,fclass,width,name,Shape_Leng
"1912","184879749","8101",river,"5",Λαδοπόταμος,257.76605783900
"1913","184879754","8101",river,"5",Λαδοπόταμος,426.62209750500
"1914","184879757","8101",river,"5",Λαδοπόταμος,150.19543168700
"1915","184879760","8101",river,"5",Λαδοπόταμος,323.49695339600
"1916","185398927","8101",river,"5",Λαδοπόταμος,207.30231079200
"1917","185398931","8102",stream,"0",,51.27386274170
"1918","185398932","8101",river,"5",Λαδοπόταμος,115.68948480500
"1919","185398933","8102",stream,"0",Λαδοπόταμος,656.46341019100
"1920","185398936","8102",stream,"0",,257.17660873400
"1921","185398937","8102",stream,"0",,80.74437761750
"1922","185398938","8102",stream,"4",Λαδοπόταμος,471.55609206700
"1923","185398939","8102",stream,"0",,168.64127022400
"1924","185398941","8101",river,"0",Λαδοπόταμος,35.16505932030
"1925","185398942","8102",stream,"0",Λαδοπόταμος,582.23757478700
"1926","185398943","8102",stream,"0",,614.04513885200
"1927","185398945","8102",stream,"0",,66.16550207220
"1928","185398949","8102",stream,"0",Λαδοπόταμος,255.11875927000
"1929","185398952","8102",stream,"0",Λαδοπόταμος,193.16310715000
"1930","185398954","8102",stream,"0",,140.52118241700
"1931","185398955","8102",stream,"0",,99.56888541240
"1932","185398956","8102",stream,"0",Λαδοπόταμος,321.19557513600
"1933","185398957","8102",stream,"0",Λαδοπόταμος,81.24840714500
"1934","185398958","8102",stream,"0",Λαδοπόταμος,380.45113397700
"1935","185398959","8102",stream,"0",Λαδοπόταμος,283.07011600700
"1936","185398961","8101",river,"5",Λαδοπόταμος,264.05142285800
"1937","185398962","8101",river,"5",Λαδοπόταμος,489.44944245100
"1938","185398963","8102",stream,"0",Λαδοπόταμος,290.91230570600
"1939","185398965","8102",stream,"0",,186.74996519200
"1940","185398966","8102",stream,"0",,374.57047359000
"1941","185398967","8102",stream,"0",,880.21706403900
"1942","185398968","8101",river,"5",Λαδοπόταμος,930.56103957800
"1943","185398970","8102",stream,"0",,91.18466841230
"1944","185398972","8102",stream,"0",,121.08237764800
"1945","185398973","8102",stream,"0",,181.84377127800
"1946","185398977","8101",river,"5",Λαδοπόταμος,449.93801610700
"1947","185398978","8101",river,"5",Λαδοπόταμος,60.64309201410
"1948","185398980","8102",stream,"0",Λαδοπόταμος,913.78303774900
"1949","185398985","8101",river,"5",Λαδοπόταμος,319.53993310700
"1950","185398987","8102",stream,"0",Λαδοπόταμος,286.89214147800
"1951","185398989","8101",river,"0",Λαδοπόταμος,93.51198520130
"1952","185398990","8102",stream,"0",,232.26327633900
"1953","185398992","8102",stream,"6",Λαδοπόταμος,970.82216289400
"1954","185399005","8102",stream,"0",,141.69243256700
"1955","185399009","8102",stream,"4",Λαδοπόταμος,228.55889316000
"1956","185399010","8102",stream,"0",Λαδοπόταμος,367.38251615000
"1957","185399012","8102",stream,"0",,99.38529481770
"1958","185399013","8101",river,"5",Λαδοπόταμος,365.46845210400
"1959","185399014","8101",river,"5",Λαδοπόταμος,128.47094629800
"1960","185399015","8101",river,"5",Λαδοπόταμος,103.93392174200
"1961","185399016","8102",stream,"0",,56.83196877360
"1962","185399017","8101",river,"5",Λαδοπόταμος,851.43956767200
"1963","185399019","8102",stream,"0",,66.81428411770
"1964","185400020","8101",river,"5",Λαδοπόταμος,718.61306169300
"1965","185400021","8102",stream,"0",,420.33356869200
"1966","185409469","8102",stream,"0",,4259.64090568000
"1967","185765767","8101",river,"0",Пиринска Бистрица,372.95265052400
"1968","185767026","8101",river,"0",Пиринска Бистрица,2247.94658398000
"1969","185767027","8101",river,"0",Пиринска Бистрица,1896.96514577000
"1970","186203284","8101",river,"0",Петровска река,251.26982517500
"1971","186508322","8102",stream,"0",,99.06210750560
"1972","186508323","8102",stream,"0",,137.01423499800
"1973","186508324","8102",stream,"0",,12.48298514590
"1974","186759092","8101",river,"0",Σακουλέβας,2017.44838945000
"1975","186759093","8102",stream,"0",Σακουλέβας,473.46324533400
"1976","188495139","8101",river,"0",,1437.78177383000
"1977","188726420","8103",canal,"0",,1035.47991920000
"1978","188726428","8104",drain,"0",,6047.56686845000
"1979","188727849","8104",drain,"0",,1853.17016216000
"1980","189092923","8101",river,"200",Στρυμόνας,11519.68634480000
"1981","189102959","8102",stream,"0",,27.45794403500
