OBJECTID,lakID,IsCCM,Is_art13,Is_erm,Is_511,Is_512,Is_521,Is_411,Is_Wiki,Is_other,lakSScore,NAMA2,LakVersion,EcrinsVers,name,Area,Area0km2,AreaXkm2,SourceXare,perimeter,perimeterX,lke_type,ZMxm,Zmim,Zavgm,volavghm3,volmxhm3,volmihm3,Altitude,Wnb,Alt_Score,window,system_cd,sea_cd,comm_cd,langerm,Upstream_a,M_Ctry,Nb_Ctry,M_NUTS,Nb_NUTS,is2Keep,is2Create,Is2Substit,ERMID,SHAPE_Leng,SHAPE_Area
"191102",E000150218,"0","0","0","0","0","0","0","0","0","0",,"4","2",#Joker#,1.51098467931,0.00000000000,0.00000000000,"2","16","16",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"0","0","0","0",,"0","0",,0.00000000000,#Jo,"0",#Joker#,"0","-1","0","0",EU-866656_Y000,16316.18479880000,1510984.67931000004
"191103",E000150219,"0","0","0","0","0","0","0","0","0","0",,"4","2",#Joker#,0.28608333505,0.00000000000,0.00000000000,"0","3","3",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"0","0","0","0",,"0","0",,0.00000000000,#Jo,"0",#Joker#,"0","-1","0","0",EU-866657_Y000,3334.41369494000,286083.33505200001
"191104",E000150220,"0","0","0","0","0","0","0","0","0","0",,"4","2",#Joker#,0.61610646734,0.00000000000,0.00000000000,"1","7","7",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"0","0","0","0",,"0","0",,0.00000000000,#Jo,"0",#Joker#,"0","-1","0","0",EU-866658_Y000,7206.01886957000,616106.46733599994
"191108",E000150224,"0","0","0","0","0","0","0","0","0","0",,"4","2",#Joker#,1.71129276625,0.00000000000,0.00000000000,"2","16","16",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"0","0","0","0",,"0","0",,0.00000000000,#Jo,"0",#Joker#,"0","-1","0","0",EU-866664_Y000,15502.91072150000,1711292.76625000010
"191109",E000150225,"0","0","0","0","0","0","0","0","0","0",,"4","2",#Joker#,0.45988565695,0.00000000000,0.00000000000,"0","6","6",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"0","0","0","0",,"0","0",,0.00000000000,#Jo,"0",#Joker#,"0","-1","0","0",EU-866689_Y000,5994.20207382000,459885.65695400001
"51072",OE00052372,"0","0","-1","0","-1","0","0","0","0","4",#Joker#,"1","2",LIMNH ZAZATH,2.03773331809,1.83815034177,1.83815034177,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"597","2009","0","0",,"0","0",#Joker#,0.00000000000,GR,"1",GR1,"1","-1","0","0",,6411.91797290000,2037733.31808999996
"51073",OE00052373,"0","0","-1","0","-1","0","0","0","0","4",#Joker#,"1","2",LIMNH XEIMADITIS,10.56268776510,9.36810227770,9.36810227770,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"590","2009","0","0",,"0","0",#Joker#,0.00000000000,GR,"1",GR1,"1","-1","0","0",,14077.66020780000,10562687.76510000043
"53141",OE00052352,"0","0","-1","0","0","0","-1","0","0","4",#Joker#,"1","2",UNK,7.32319146854,0.14954242907,0.14954242907,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"850","2009","2","0",,"0","0",#Joker#,0.00000000000,GR,"3",GR1,"3","-1","0","0",EU-862589Y_000,41069.82730980000,7323191.46853999980
"53142",OE00052353,"0","0","-1","0","-1","0","0","0","0","4",#Joker#,"1","2",LIMNH BEGORITIS (ARNISSHS),40.62478820850,57.38267011420,57.38267011420,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"509","2009","2","0",,"0","0",#Joker#,0.00000000000,GR,"1",GR1,"1","-1","0","0",,33096.18336000000,40624788.20849999785
"53143",OE00052354,"0","0","-1","0","-1","0","0","0","0","4",#Joker#,"1","2",LIMNH MIKRA PRESPA,39.15357590170,42.75283230410,42.75283230410,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"846","2009","0","0",,"0","0",#Joker#,0.00000000000,GR,"6",GR1,"6","-1","0","0",,44434.57967220000,39153575.90169999748
"53146",OE00052357,"0","0","-1","0","0","0","0","0","0","4",#Joker#,"1","2",UNK,0.29230268655,0.29230268655,0.29230268655,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"-2","2009","2","0",,"0","0",#Joker#,0.00000000000,GR,"1",GR1,"1","0","0","0",OE00052357,5156.25811265000,292302.68654999998
"52532",OE00052321,"0","0","-1","0","-1","0","0","0","0","4",#Joker#,"1","2",UNK,65.16323851340,43.87630448790,43.87630448790,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"30","2009","0","0",,"0","0",#Joker#,0.00000000000,GR,"1",GR1,"1","-1","0","0",,49214.40202510000,65163238.51340000331
"52533",OEL0000005,"0","-1","0","0","0","0","0","0","0","2",#Joker#,"2","2",LIMNH DOIRANHS,38.86619372920,14.56752049530,14.56752049530,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"140","2009","2","0",,"0","0",#Joker#,0.00000000000,MK,"2",MK,"2","-1","0","0",OE00052322,23833.92365980000,38866193.72919999808
"53134",OEL0000004,"0","-1","0","0","0","0","0","0","0","2",#Joker#,"2","2",LIMNH MEGALH PRESPA,281.46130612600,39.56191904170,39.56191904170,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"841","0","0","0",,"0","0",#Joker#,0.00000000000,MK,"4",MK,"4","-1","0","0",OE00052345,112074.88756900000,281461306.12599998713
"53136",OE00052347,"0","0","-1","0","-1","0","0","0","0","4",#Joker#,"1","2",UNK,3.24772731054,4.23541049131,4.23541049131,"0","0","0",,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"40","2009","2","0",,"0","0",#Joker#,0.00000000000,GR,"1",GR1,"1","-1","0","0",,7096.26534651000,3247727.31053999998
"182784",OC00138905,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",Ohridsko Ezero,357.18442798900,360.09979965000,360.09979965000,"0","105200","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"690","2009","1","2009",M,"4","34",,0.00000000000,MK,"2",MK,"2","-1","0","0",,86786.20088049999,357184427.98900002241
"182789",OC00138907,"-1","0","0","0","-1","0","0","0","0","1",#Joker#,"1","2",,0.25783712978,0.33001991959,0.33001991959,"0","3000","0",N,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,"676","2009","0","2009",M,"4","36",,0.00000000000,MK,"1",MK,"1","-1","0","0",,2672.99001247000,257837.12977699999
